AIMed_d30@1	Isolation of human PROTEINT1 and its binding specificity with PROTEINT2
AIMed_d141@5	PROTEINT0 be a potent tight-binding inhibitor of Cdk and can inhibit the phosphorylation of PROTEINT0 by PROTEINT1 PROTEINT2 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 and PROTEINT0 PROTEINT0 complex
AIMed_d141@5	PROTEINT0 be a potent tight-binding inhibitor of Cdk and can inhibit the phosphorylation of PROTEINT0 by PROTEINT0 PROTEINT0 PROTEINT1 PROTEINT2 PROTEINT0 PROTEINT0 and PROTEINT0 PROTEINT0 complex
AIMed_d141@5	PROTEINT0 be a potent tight-binding inhibitor of Cdk and can inhibit the phosphorylation of PROTEINT0 by PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT1 PROTEINT2 and PROTEINT0 PROTEINT0 complex
AIMed_d141@5	PROTEINT0 be a potent tight-binding inhibitor of Cdk and can inhibit the phosphorylation of PROTEINT0 by PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 and PROTEINT1 PROTEINT2 complex
AIMed_d49@4	PROTEINT1 recognize one FGFR isoform know as the PROTEINT2 isoform or PROTEINT0 PROTEINT0 PROTEINT0 whereas PROTEINT0 bind well to PROTEINT0 PROTEINT0 and PROTEINT0 but interact poorly with PROTEINT0
AIMed_d49@4	PROTEINT1 recognize one FGFR isoform know as the PROTEINT0 isoform or PROTEINT0 PROTEINT2 PROTEINT0 whereas PROTEINT0 bind well to PROTEINT0 PROTEINT0 and PROTEINT0 but interact poorly with PROTEINT0
AIMed_d49@4	PROTEINT1 recognize one FGFR isoform know as the PROTEINT0 isoform or PROTEINT0 PROTEINT0 PROTEINT2 whereas PROTEINT0 bind well to PROTEINT0 PROTEINT0 and PROTEINT0 but interact poorly with PROTEINT0
AIMed_d49@4	PROTEINT0 recognize one FGFR isoform know as the PROTEINT0 isoform or PROTEINT0 PROTEINT0 PROTEINT0 whereas PROTEINT1 bind well to PROTEINT2 PROTEINT0 and PROTEINT0 but interact poorly with PROTEINT0
AIMed_d49@4	PROTEINT0 recognize one FGFR isoform know as the PROTEINT0 isoform or PROTEINT0 PROTEINT0 PROTEINT0 whereas PROTEINT1 bind well to PROTEINT0 PROTEINT2 and PROTEINT0 but interact poorly with PROTEINT0
AIMed_d49@4	PROTEINT0 recognize one FGFR isoform know as the PROTEINT0 isoform or PROTEINT0 PROTEINT0 PROTEINT0 whereas PROTEINT1 bind well to PROTEINT0 PROTEINT0 and PROTEINT2 but interact poorly with PROTEINT0
AIMed_d49@4	PROTEINT0 recognize one FGFR isoform know as the PROTEINT0 isoform or PROTEINT0 PROTEINT0 PROTEINT0 whereas PROTEINT1 bind well to PROTEINT0 PROTEINT0 and PROTEINT0 but interact poorly with PROTEINT2
AIMed_d49@6	PROTEINT1 contain this primary site as well as a region that restrict interaction with PROTEINT2
AIMed_d49@7	The sequence that confer on PROTEINT1 its specific binding to PROTEINT2 have not be identify
AIMed_d49@8	By utilize domain swapping and site-directed mutagenesis we have find that the loop connect the beta4-beta5 strand of PROTEINT1 contribute to high affinity receptor binding and be critical for PROTEINT2 recognition
AIMed_d49@9	Replacement of this loop with the homologous loop from PROTEINT0 dramatically reduce both the affinity of PROTEINT1 for PROTEINT2 and its biological potency but do not result in the ability to bind PROTEINT0
AIMed_d49@11	The reciprocal loop replacement mutant PROTEINT0 L4/7 retain PROTEINT1 like affinity for PROTEINT2 and for PROTEINT0
AIMed_d49@11	The reciprocal loop replacement mutant PROTEINT0 L4/7 retain PROTEINT1 like affinity for PROTEINT0 and for PROTEINT2
AIMed_d98@8	PROTEINT1 which be know to bind 14-3-3 protein have recently be show to associate with PROTEINT2 and to stimulate its phosphatase activity
AIMed_d98@10	Instead 14-3-3 may facilitate the association of PROTEINT1 with PROTEINT2 in vivo participate in the linkage between mitogenic signaling and the cell cycle machinery
AIMed_d35@9	Cell surface PROTEINT1 form complex in vivo with actin-binding protein PROTEINT2 PROTEINT0 which be know to form bridge between cell surface receptor and cytoskeleton and mediate cell adhesion and cell motility
AIMed_d35@9	Cell surface PROTEINT1 form complex in vivo with actin-binding protein PROTEINT0 PROTEINT2 which be know to form bridge between cell surface receptor and cytoskeleton and mediate cell adhesion and cell motility
AIMed_d197@1	Analysis of the human PROTEINT1 human PROTEINT2 PROTEINT0 receptor binding interface at the amino acid level propose mechanism of interaction
AIMed_d197@2	The interaction between PROTEINT1 PROTEINT0 and PROTEINT0 PROTEINT2 PROTEINT0 be the initial and most specific step in the PROTEINT0 signaling pathway
AIMed_d197@2	The interaction between PROTEINT1 PROTEINT0 and PROTEINT0 PROTEINT0 PROTEINT2 be the initial and most specific step in the PROTEINT0 signaling pathway
AIMed_d197@2	The interaction between PROTEINT0 PROTEINT1 and PROTEINT0 PROTEINT2 PROTEINT0 be the initial and most specific step in the PROTEINT0 signaling pathway
AIMed_d197@2	The interaction between PROTEINT0 PROTEINT0 and PROTEINT1 PROTEINT0 PROTEINT2 be the initial and most specific step in the PROTEINT0 signaling pathway
AIMed_d197@4	We study the human PROTEINT1 PROTEINT0 PROTEINT2 binding interface by a combination of molecular modelling and site-directed mutagenesis
AIMed_d197@4	We study the human PROTEINT0 PROTEINT1 PROTEINT2 binding interface by a combination of molecular modelling and site-directed mutagenesis
AIMed_d197@7	Follow this hypothesis we alter in PROTEINT1 and PROTEINT2 residue predict to reside in the contact region and to interact with each other
AIMed_d197@8	We study the capacity of these mutant to form an PROTEINT1 PROTEINT2 complex and their ability to transduce the signal
AIMed_d208@7	The cloning of member of these gene family and the identification of the protein-interaction motif find within their gene product have initiate the molecular identity of factor PROTEINT1 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 and TRAF associate with both of the PROTEINT2 and PROTEINT0 form of the TNF receptor and with other member of the TNF receptor superfamily
AIMed_d208@7	The cloning of member of these gene family and the identification of the protein-interaction motif find within their gene product have initiate the molecular identity of factor PROTEINT1 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 and TRAF associate with both of the PROTEINT0 and PROTEINT2 form of the TNF receptor and with other member of the TNF receptor superfamily
AIMed_d208@7	The cloning of member of these gene family and the identification of the protein-interaction motif find within their gene product have initiate the molecular identity of factor PROTEINT0 PROTEINT1 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 and TRAF associate with both of the PROTEINT2 and PROTEINT0 form of the TNF receptor and with other member of the TNF receptor superfamily
AIMed_d208@7	The cloning of member of these gene family and the identification of the protein-interaction motif find within their gene product have initiate the molecular identity of factor PROTEINT0 PROTEINT0 PROTEINT1 PROTEINT0 PROTEINT0 PROTEINT0 and TRAF associate with both of the PROTEINT2 and PROTEINT0 form of the TNF receptor and with other member of the TNF receptor superfamily
AIMed_d208@7	The cloning of member of these gene family and the identification of the protein-interaction motif find within their gene product have initiate the molecular identity of factor PROTEINT0 PROTEINT0 PROTEINT1 PROTEINT0 PROTEINT0 PROTEINT0 and TRAF associate with both of the PROTEINT0 and PROTEINT2 form of the TNF receptor and with other member of the TNF receptor superfamily
AIMed_d208@7	The cloning of member of these gene family and the identification of the protein-interaction motif find within their gene product have initiate the molecular identity of factor PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT1 PROTEINT0 and TRAF associate with both of the PROTEINT2 and PROTEINT0 form of the TNF receptor and with other member of the TNF receptor superfamily
AIMed_d208@7	The cloning of member of these gene family and the identification of the protein-interaction motif find within their gene product have initiate the molecular identity of factor PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT1 PROTEINT0 and TRAF associate with both of the PROTEINT0 and PROTEINT2 form of the TNF receptor and with other member of the TNF receptor superfamily
AIMed_d208@7	The cloning of member of these gene family and the identification of the protein-interaction motif find within their gene product have initiate the molecular identity of factor PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT1 and TRAF associate with both of the PROTEINT2 and PROTEINT0 form of the TNF receptor and with other member of the TNF receptor superfamily
AIMed_d208@7	The cloning of member of these gene family and the identification of the protein-interaction motif find within their gene product have initiate the molecular identity of factor PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT1 and TRAF associate with both of the PROTEINT0 and PROTEINT2 form of the TNF receptor and with other member of the TNF receptor superfamily
AIMed_d163@3	A protein PROTEINT1 PROTEINT0 be identify in a human cell line that bind to a region of the PROTEINT2 PROTEINT0 contain the lysosomal target code
AIMed_d163@3	A protein PROTEINT1 PROTEINT0 be identify in a human cell line that bind to a region of the PROTEINT0 PROTEINT2 contain the lysosomal target code
AIMed_d163@3	A protein PROTEINT0 PROTEINT1 be identify in a human cell line that bind to a region of the PROTEINT2 PROTEINT0 contain the lysosomal target code
AIMed_d163@3	A protein PROTEINT0 PROTEINT1 be identify in a human cell line that bind to a region of the PROTEINT0 PROTEINT2 contain the lysosomal target code
AIMed_d164@2	The splicing factor U2AF U2 snRNP auxiliary factor be a heterodimer with subunit of 65 and 35 kD PROTEINT1 and PROTEINT2
AIMed_d118@1	The PROTEINT1 inhibitor of cyclin-dependent kinase control DNA replication by interaction with PROTEINT2
AIMed_d118@4	In normal human cell but not in many tumour cell PROTEINT1 exist in a quaternary complex with a cyclin a CDK and the PROTEINT2 PROTEINT0
AIMed_d118@4	In normal human cell but not in many tumour cell PROTEINT1 exist in a quaternary complex with a cyclin a CDK and the PROTEINT0 PROTEINT2
AIMed_d118@6	Here we use simian virus 40 DNA replication in vitro to show than PROTEINT1 directly inhibit PROTEINT2 dependent DNA replication in the absence of a cyclin/CDK
AIMed_d118@7	Furthermore PROTEINT1 block the ability of PROTEINT2 to activate PROTEINT0 the principal replicative DNA polymerase
AIMed_d118@7	Furthermore PROTEINT0 block the ability of PROTEINT1 to activate PROTEINT2 the principal replicative DNA polymerase
AIMed_d118@8	This regulation result from a direct interaction between PROTEINT1 and PROTEINT2
AIMed_d201@4	Our finding that PROTEINT1 directly interact with PROTEINT2 PROTEINT0 a common subunit of RNA polymeras imply that PROTEINT0 directly modulate the function of RNA polymerase Cheong J H Yi M Lin Y and Murakami S 1995 EMBO J 14 142-150
AIMed_d201@4	Our finding that PROTEINT1 directly interact with PROTEINT0 PROTEINT2 a common subunit of RNA polymeras imply that PROTEINT0 directly modulate the function of RNA polymerase Cheong J H Yi M Lin Y and Murakami S 1995 EMBO J 14 142-150
AIMed_d201@7	Delineation of the binding region of these three protein reveal that PROTEINT1 PROTEINT2 and PROTEINT0 each have two binding region for the other two protein
AIMed_d201@9	Some PROTEINT1 substitution mutant which have severely impaired transacting activity exhibit reduce binding affinity with either PROTEINT0 or PROTEINT2 in a mutually exclusive manner suggest that PROTEINT0 transactivation require the interaction of both PROTEINT0 and PROTEINT0
AIMed_d201@9	Some PROTEINT0 substitution mutant which have severely impaired transacting activity exhibit reduce binding affinity with either PROTEINT0 or PROTEINT0 in a mutually exclusive manner suggest that PROTEINT1 transactivation require the interaction of both PROTEINT2 and PROTEINT0
AIMed_d65@1	Cross-family dimerization of transcription factor PROTEINT1 PROTEINT2 and PROTEINT0 PROTEINT0 alter DNA binding specificity
AIMed_d65@1	Cross-family dimerization of transcription factor PROTEINT0 PROTEINT0 and PROTEINT1 PROTEINT2 alter DNA binding specificity
AIMed_d116@1	Activity of RNA polymerase I transcription factor PROTEINT1 block by PROTEINT2 gene product
AIMed_d116@4	Here we report that 1 there be an accumulation of PROTEINT0 protein in the nucleolus of differentiate U937 cell which correlate with inhibition of rDNA transcription 2 addition of PROTEINT0 to an in vitro transcription system inhibit transcription by RNA polymerase I 3 this inhibition require a functional PROTEINT0 pocket and 4 PROTEINT1 specifically inhibit the activity of the RNA polymerase I transcription factor PROTEINT2 PROTEINT0 in vitro
AIMed_d116@4	Here we report that 1 there be an accumulation of PROTEINT0 protein in the nucleolus of differentiate U937 cell which correlate with inhibition of rDNA transcription 2 addition of PROTEINT0 to an in vitro transcription system inhibit transcription by RNA polymerase I 3 this inhibition require a functional PROTEINT0 pocket and 4 PROTEINT1 specifically inhibit the activity of the RNA polymerase I transcription factor PROTEINT0 PROTEINT2 in vitro
AIMed_d116@5	This last observation be confirm by affinity chromatography and immunoprecipitation which demonstrate an interaction between PROTEINT1 and PROTEINT2
AIMed_d111@3	The prototypic neuronal anchor protein PROTEINT1 have a COOH-terminal 22-residue PROTEINT2 binding tethering site
AIMed_d111@5	Mutagenesis recombinant protein expression and physicochemical characterization be use to investigate the structural basis for the homodimerization and PROTEINT1 binding activity of PROTEINT2
AIMed_d111@10	Evidently large hydrophobic side chain of Leu13 and Phe36 play pivotal role in stabilize PROTEINT1 PROTEINT2 interaction
AIMed_d111@12	Other NH2-terminal residue directly modulate the affinity of PROTEINT1 dimer for the PROTEINT2 tethering site
AIMed_d111@13	Replacement of Val20-Leu21 with Ala-Ala produce a dimeric PROTEINT1 protein that bind PROTEINT2 approximately 4 as avidly as wild-type PROTEINT0
AIMed_d124@2	The protein PROTEINT1 a key mediator of mitogenesis and differentiation associate with PROTEINT2 ref 1-3
AIMed_d57@1	Reconstitution of the multiprotein complex of PROTEINT1 PROTEINT2 and PROTEINT0 in a cell-free system
AIMed_d57@2	A rabbit reticulocyte lysate system that have be use to reconstitute functional complex between steroid receptor and the 90-kDa heat shock protein PROTEINT0 have be use here to form complex between the PROTEINT1 tyrosine kinase and PROTEINT2
AIMed_d57@3	Reticulocyte lysate form complex between PROTEINT1 and a temperature-sensitive mutant of Rous sarcoma virus PROTEINT2 which be normally present in cytosol virtually entirely in the multiprotein complex form
AIMed_d57@4	In addition PROTEINT1 in the lysate complex with wild-type PROTEINT2 of which only a small portion be normally recover in cytosol in the native multiprotein complex and with the cellular homolog PROTEINT0 which have never be recover in cytosol in the form of a native multiprotein complex with PROTEINT0
AIMed_d57@4	In addition PROTEINT1 in the lysate complex with wild-type PROTEINT0 of which only a small portion be normally recover in cytosol in the native multiprotein complex and with the cellular homolog PROTEINT2 which have never be recover in cytosol in the form of a native multiprotein complex with PROTEINT0
AIMed_d57@6	The native and reconstitute PROTEINT1 PROTEINT2 complex have similar thermal stability and like steroid receptor heterocomplex they be stabilize by molybdate
AIMed_d57@7	As previously show with reticulocyte lysate-reconstituted steroid receptor heteroprotein complex the reconstitute PROTEINT1 multiprotein complex contain PROTEINT2 which be a major candidate for provide the protein unfoldase activity require for PROTEINT0 association
AIMed_d158@2	The death domain of PROTEINT1 PROTEINT0 trigger distinct signaling pathway lead to apoptosis and PROTEINT0 activation through its interaction with the death domain protein PROTEINT2
AIMed_d158@2	The death domain of PROTEINT0 PROTEINT1 trigger distinct signaling pathway lead to apoptosis and PROTEINT0 activation through its interaction with the death domain protein PROTEINT2
AIMed_d158@3	Here we show that PROTEINT1 interact strongly with PROTEINT2 another death domain protein that be show previously to associate with PROTEINT0 antigen
AIMed_d158@3	Here we show that PROTEINT0 interact strongly with PROTEINT1 another death domain protein that be show previously to associate with PROTEINT2 antigen
AIMed_d189@1	Association of PROTEINT1 with PROTEINT2 PROTEINT0 PROTEINT0 and PROTEINT0 protein in a yeast two-hybrid system
AIMed_d189@1	Association of PROTEINT1 with PROTEINT0 PROTEINT2 PROTEINT0 and PROTEINT0 protein in a yeast two-hybrid system
AIMed_d189@1	Association of PROTEINT1 with PROTEINT0 PROTEINT0 PROTEINT2 and PROTEINT0 protein in a yeast two-hybrid system
AIMed_d189@1	Association of PROTEINT1 with PROTEINT0 PROTEINT0 PROTEINT0 and PROTEINT2 protein in a yeast two-hybrid system
AIMed_d189@4	Use the human PROTEINT0 protein as the bait in a yeast two-hybrid system we have identify a human homolog of yeast PROTEINT0 designate PROTEINT1 that interact with PROTEINT2 PROTEINT0 PROTEINT0 and a ubiquitin-like protein PROTEINT0
AIMed_d189@4	Use the human PROTEINT0 protein as the bait in a yeast two-hybrid system we have identify a human homolog of yeast PROTEINT0 designate PROTEINT1 that interact with PROTEINT0 PROTEINT2 PROTEINT0 and a ubiquitin-like protein PROTEINT0
AIMed_d189@4	Use the human PROTEINT0 protein as the bait in a yeast two-hybrid system we have identify a human homolog of yeast PROTEINT0 designate PROTEINT1 that interact with PROTEINT0 PROTEINT0 PROTEINT2 and a ubiquitin-like protein PROTEINT0
AIMed_d189@4	Use the human PROTEINT0 protein as the bait in a yeast two-hybrid system we have identify a human homolog of yeast PROTEINT0 designate PROTEINT1 that interact with PROTEINT0 PROTEINT0 PROTEINT0 and a ubiquitin-like protein PROTEINT2
AIMed_d189@6	The interaction of PROTEINT1 with PROTEINT2 be mediate by PROTEINT0 s self-association region
AIMed_d123@1	Characterization of an interaction between PROTEINT1 and the PROTEINT2 by use the two-hybrid system
AIMed_d123@2	PROTEINT1 PROTEINT0 be a major substrate of the PROTEINT2 and have be implicate in PROTEINT0 signaling
AIMed_d123@2	PROTEINT0 PROTEINT1 be a major substrate of the PROTEINT2 and have be implicate in PROTEINT0 signaling
AIMed_d123@3	Although PROTEINT1 be think to interact with the PROTEINT0 PROTEINT2 the nature of the interaction have not be define
AIMed_d123@4	In this study we use the two-hybrid assay of protein-protein interaction in the yeast Saccharomyces cerevisiae to study the interaction between human PROTEINT1 and the PROTEINT0 PROTEINT2
AIMed_d123@5	We demonstrate that PROTEINT1 form a specific complex with the cytoplasmic domain of the PROTEINT2 when both be express as hybrid protein in yeast cell
AIMed_d81@1	PROTEINT1 a novel protein contain a death domain that interact with PROTEINT2 PROTEINT0 PROTEINT0 in yeast and cause cell death
AIMed_d81@1	PROTEINT1 a novel protein contain a death domain that interact with PROTEINT0 PROTEINT2 PROTEINT0 in yeast and cause cell death
AIMed_d81@1	PROTEINT1 a novel protein contain a death domain that interact with PROTEINT0 PROTEINT0 PROTEINT2 in yeast and cause cell death
AIMed_d81@3	Use a genetic selection base on protein-protein interaction in yeast we have identify two gene product that associate with the intracellular domain of PROTEINT1 PROTEINT2 itself and a novel 74 kDa protein we have name PROTEINT0 for PROTEINT0
AIMed_d81@3	Use a genetic selection base on protein-protein interaction in yeast we have identify two gene product that associate with the intracellular domain of PROTEINT1 PROTEINT0 itself and a novel 74 kDa protein we have name PROTEINT2 for PROTEINT0
AIMed_d81@3	Use a genetic selection base on protein-protein interaction in yeast we have identify two gene product that associate with the intracellular domain of PROTEINT1 PROTEINT0 itself and a novel 74 kDa protein we have name PROTEINT0 for PROTEINT2
AIMed_d81@4	PROTEINT1 also interact weakly with the PROTEINT0 tumor necrosis factor receptor PROTEINT2 intracellular domain but not with a mutant version of PROTEINT0 correspond to the murine lprcg mutation
AIMed_d50@3	Here we quantitatively map the complete binding region of PROTEINT1 on PROTEINT2 by 35 individual mutation to alanine and isosteric residue
AIMed_d50@6	Interestingly the PROTEINT1 binding site overlap the large continuous hydrophobic patch on PROTEINT2
AIMed_d180@3	PROTEINT1 PROTEINT0 PROTEINT0 PROTEINT0 a PROTEINT2 PROTEINT0 substrate important for the growth and plasticity of neuronal connection have be implicate in vitro in several signal transduction pathway
AIMed_d180@3	PROTEINT1 PROTEINT0 PROTEINT0 PROTEINT0 a PROTEINT0 PROTEINT2 substrate important for the growth and plasticity of neuronal connection have be implicate in vitro in several signal transduction pathway
AIMed_d180@3	PROTEINT0 PROTEINT1 PROTEINT0 PROTEINT0 a PROTEINT2 PROTEINT0 substrate important for the growth and plasticity of neuronal connection have be implicate in vitro in several signal transduction pathway
AIMed_d180@3	PROTEINT0 PROTEINT1 PROTEINT0 PROTEINT0 a PROTEINT0 PROTEINT2 substrate important for the growth and plasticity of neuronal connection have be implicate in vitro in several signal transduction pathway
AIMed_d180@3	PROTEINT0 PROTEINT0 PROTEINT1 PROTEINT0 a PROTEINT2 PROTEINT0 substrate important for the growth and plasticity of neuronal connection have be implicate in vitro in several signal transduction pathway
AIMed_d180@3	PROTEINT0 PROTEINT0 PROTEINT1 PROTEINT0 a PROTEINT0 PROTEINT2 substrate important for the growth and plasticity of neuronal connection have be implicate in vitro in several signal transduction pathway
AIMed_d180@3	PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT1 a PROTEINT2 PROTEINT0 substrate important for the growth and plasticity of neuronal connection have be implicate in vitro in several signal transduction pathway
AIMed_d180@3	PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT1 a PROTEINT0 PROTEINT2 substrate important for the growth and plasticity of neuronal connection have be implicate in vitro in several signal transduction pathway
AIMed_d180@4	In the yeast-based cloning system the only strong interaction that be detect between PROTEINT1 and the PROTEINT0 PROTEINT2 PROTEINT0
AIMed_d180@4	In the yeast-based cloning system the only strong interaction that be detect between PROTEINT1 and the PROTEINT0 PROTEINT0 PROTEINT2
AIMed_d180@5	PROTEINT1 phosphorylate PROTEINT2 on serine 41
AIMed_d180@7	Surprisingly the N-terminal third of PROTEINT1 alone bind PROTEINT2 more strongly than do intact PROTEINT0 suggest that the protein' C-terminus may play a role in modulate the interaction with PROTEINT0
AIMed_d180@7	Surprisingly the N-terminal third of PROTEINT0 alone bind PROTEINT1 more strongly than do intact PROTEINT2 suggest that the protein' C-terminus may play a role in modulate the interaction with PROTEINT0
AIMed_d180@8	These result along with other recent finding suggest a novel role for the interaction between PROTEINT1 and PROTEINT2
AIMed_d88@1	Interaction of the protein PROTEINT1 with PROTEINT2 as reveal by the yeast two-hybrid system
AIMed_d88@8	The specificity of intehraction between PROTEINT1 and PROTEINT2 be confirm by an in vitro binding assay use recombinant protein
AIMed_d59@3	PROTEINT1 be a muscle-specific HLH protein that bind DNA in vitro as a heterodimer with several widely express HLH protein such as the PROTEINT0 gene product PROTEINT2 and PROTEINT0
AIMed_d59@3	PROTEINT1 be a muscle-specific HLH protein that bind DNA in vitro as a heterodimer with several widely express HLH protein such as the PROTEINT0 gene product PROTEINT0 and PROTEINT2
AIMed_d59@6	The result show that PROTEINT1 heterodimerize with PROTEINT2 and PROTEINT0 in vivo but it do not homodimerize to a measurable extent
AIMed_d59@6	The result show that PROTEINT1 heterodimerize with PROTEINT0 and PROTEINT2 in vivo but it do not homodimerize to a measurable extent
AIMed_d156@1	PROTEINT1 a kinase associate with the PROTEINT2
AIMed_d156@2	The pleiotropic biological activity of PROTEINT1 PROTEINT0 be mediate by its type I receptor PROTEINT2
AIMed_d156@2	The pleiotropic biological activity of PROTEINT0 PROTEINT1 be mediate by its type I receptor PROTEINT2
AIMed_d156@5	When human embryonic kidney cell cell line 293 over-expressing PROTEINT0 or HeLa cell be expose to PROTEINT0 PROTEINT1 rapidly associate with the PROTEINT2 complex and be phosphorylate
AIMed_d187@1	Interaction of PROTEINT1 with PROTEINT2 binding and inhibition of amyloid formation
AIMed_d187@5	PROTEINT1 PROTEINT0 a second major CSF protein form SDS-stable complex with PROTEINT2 and significantly decrease the rate of PROTEINT0 fibril formation
AIMed_d187@5	PROTEINT0 PROTEINT1 a second major CSF protein form SDS-stable complex with PROTEINT2 and significantly decrease the rate of PROTEINT0 fibril formation
AIMed_d187@7	Endogenous PROTEINT1 PROTEINT2 complex be detect in human CSF by immunoprecipitation
AIMed_d187@8	Use site-directed mutagenesis and computer-assisted modelling we identify amino acid residue on the surface of the PROTEINT1 monomer that interact with PROTEINT2
AIMed_d48@1	PROTEINT1 induce chemotaxis and adhesion by interact with PROTEINT2 and PROTEINT0
AIMed_d48@1	PROTEINT1 induce chemotaxis and adhesion by interact with PROTEINT0 and PROTEINT2
AIMed_d48@4	We report chemotaxis and competitive binding study that show PROTEINT1 bind to and activate PROTEINT2 and PROTEINT0 transfecte HEK-293 cell
AIMed_d48@4	We report chemotaxis and competitive binding study that show PROTEINT1 bind to and activate PROTEINT0 and PROTEINT2 transfecte HEK-293 cell
AIMed_d99@7	PROTEINT1 protein interact with PROTEINT2 protein and with PROTEINT0 protein a subunit of the human RNA polymerase II transcription factor IIH
AIMed_d99@7	PROTEINT1 protein interact with PROTEINT0 protein and with PROTEINT2 protein a subunit of the human RNA polymerase II transcription factor IIH
AIMed_d196@1	PROTEINT1 interact with protein phosphatas PROTEINT2 and PROTEINT0 and disrupt a G2/M cell-cycle checkpoint
AIMed_d196@1	PROTEINT1 interact with protein phosphatas PROTEINT0 and PROTEINT2 and disrupt a G2/M cell-cycle checkpoint
AIMed_d196@5	We observe that the protein PROTEINT1 interact with protein PROTEINT0 PROTEINT2 PROTEINT0 as well as PROTEINT0 PROTEINT0 in mammalian cell
AIMed_d196@5	We observe that the protein PROTEINT1 interact with protein PROTEINT0 PROTEINT0 PROTEINT2 as well as PROTEINT0 PROTEINT0 in mammalian cell
AIMed_d196@5	We observe that the protein PROTEINT1 interact with protein PROTEINT0 PROTEINT0 PROTEINT0 as well as PROTEINT2 PROTEINT0 in mammalian cell
AIMed_d196@5	We observe that the protein PROTEINT1 interact with protein PROTEINT0 PROTEINT0 PROTEINT0 as well as PROTEINT0 PROTEINT2 in mammalian cell
AIMed_d196@9	Thus PROTEINT1 be a cellular oncogene that target PROTEINT2 and PROTEINT0 both of which be target for oncogenic virus and chemical tumour promoter
AIMed_d196@9	Thus PROTEINT1 be a cellular oncogene that target PROTEINT0 and PROTEINT2 both of which be target for oncogenic virus and chemical tumour promoter
AIMed_d34@5	We report an interaction between the human PROTEINT1 or PROTEINT0 hydrophilic loop and PROTEINT2 a small GTPase belong to the Ras-related superfamily
AIMed_d34@5	We report an interaction between the human PROTEINT0 or PROTEINT1 hydrophilic loop and PROTEINT2 a small GTPase belong to the Ras-related superfamily
AIMed_d34@6	Interaction domain be map to codon 374-400 for PROTEINT1 and to codon 106-179 for PROTEINT2 a region include the fourth GTP-binding domain
AIMed_d147@1	Characterization of the PROTEINT1 binding protein PROTEINT2 and PROTEINT0
AIMed_d147@1	Characterization of the PROTEINT1 binding protein PROTEINT0 and PROTEINT2
AIMed_d147@5	We have now isolate cDNA clone that contain the full-length cod sequence of two other protein PROTEINT1 and PROTEINT0 clone originally by their interaction with PROTEINT2
AIMed_d147@5	We have now isolate cDNA clone that contain the full-length cod sequence of two other protein PROTEINT0 and PROTEINT1 clone originally by their interaction with PROTEINT2
AIMed_d147@7	In addition we have be able to identify complex of PROTEINT1 and PROTEINT2 in vivo that be dissociate in the presence of purify human papillomavirus PROTEINT0 protein
AIMed_d191@11	PROTEINT1 interact with PROTEINT2 and PROTEINT0 with PROTEINT0 receptor
AIMed_d191@11	PROTEINT0 interact with PROTEINT0 and PROTEINT1 with PROTEINT2 receptor
AIMed_d33@3	Native PROTEINT1 and PROTEINT2 form a heterodimer in solution of physiological ionic strength with a free-energy change DeltaG degree of 8.3 kcal/mol and a dissociation constant Kd of 0.6 microM at 20 degree C that be ionic strength and temperature-dependent
AIMed_d33@4	A van't Hoff plot of the change in Kd be linear between 10 and 37 degree C and yield value of DeltaH degree 12.9 kcal/mol and DeltaS degree 15.9 cal mol-1 deg-1 suggest that electrostatic force play a prominent role in the interaction of PROTEINT1 with PROTEINT2
AIMed_d33@5	Native PROTEINT1 also form a heterodimer with PROTEINT2 and low concentration of polyionic ligand such as protamine and suramin inhibit the interaction
AIMed_d140@1	PROTEINT1 a human G1 and S phase protein phosphatase that associate with PROTEINT2
AIMed_d140@3	In yeast PROTEINT1 interact with cyclin-dependent kinase include human PROTEINT2 PROTEINT0 and PROTEINT0 but not with PROTEINT0
AIMed_d140@3	In yeast PROTEINT1 interact with cyclin-dependent kinase include human PROTEINT0 PROTEINT2 and PROTEINT0 but not with PROTEINT0
AIMed_d140@3	In yeast PROTEINT1 interact with cyclin-dependent kinase include human PROTEINT0 PROTEINT0 and PROTEINT2 but not with PROTEINT0
AIMed_d140@4	In HeLa cell PROTEINT1 be express at the G1 to S transition and the protein form stable complex with PROTEINT2
AIMed_d41@1	Crystal structure of the hereditary haemochromatosis protein PROTEINT1 complexe with PROTEINT2 PROTEINT0 receptor
